ORDER_ID	CLASS	B_EMAIL	B_TELEFON	B_BIRTHDATE	FLAG_LRIDENTISCH	FLAG_NEWSLETTER	Z_METHODE	Z_CARD_ART	Z_CARD_VALID	Z_LAST_NAME	VALUE_ORDER	WEEKDAY_ORDER	TIME_ORDER	AMOUNT_ORDER	ANUMMER_01	ANUMMER_02	ANUMMER_03	ANUMMER_04	ANUMMER_05	ANUMMER_06	ANUMMER_07	ANUMMER_08	ANUMMER_09	ANUMMER_10	CHK_LADR	CHK_RADR	CHK_KTO	CHK_CARD	CHK_COOKIE	CHK_IP	FAIL_LPLZ	FAIL_LORT	FAIL_LPLZORTMATCH	FAIL_RPLZ	FAIL_RORT	FAIL_RPLZORTMATCH	SESSION_TIME	NEUKUNDE	AMOUNT_ORDER_PRE	VALUE_ORDER_PRE	DATE_LORDER	MAHN_AKT	MAHN_HOECHST
49917	no	yes	no	1/17/1973	yes	yes	check	?	5.2006	?	17.8	Saturday	9:13	1	406811	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	yes	0	0	?	?	?
49919	no	yes	yes	12/8/1970	no	no	credit_card	Visa	12.2007	yes	18.2	Wednesday	17:36	1	600953	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	yes	no	no	13	yes	0	0	?	?	?
49923	no	yes	no	4/3/1972	yes	no	check	?	12.2007	?	10.8	Friday	11:13	1	406310	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	3	yes	0	0	?	?	?
49924	no	no	yes	8/1/1966	yes	no	check	?	1.2007	?	54.5	Friday	2:07	1	307359	?	?	?	?	?	?	?	?	?	no	no	no	yes	no	no	no	no	no	no	no	no	11	no	4	75.72	5/12/2002	0	0
49927	no	yes	yes	12/21/1969	yes	no	credit_card	Eurocard	12.2006	yes	19.99	Tuesday	23:46	1	200767	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	16	yes	0	0	?	?	?
49928	no	no	no	1/20/1975	no	no	credit_card	Eurocard	2.2007	yes	22.95	Saturday	13:13	1	405897	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	8	no	1	6.95	12/28/2003	0	0
49929	no	yes	no	2/3/1978	yes	no	check	?	11.2007	?	9.8	Thursday	14:43	1	303950	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	13	no	2	10.44	7/18/2004	0	1
49930	no	no	no	7/21/1985	yes	no	check	?	5.2005	?	17.5	Sunday	8:51	1	400124	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	7	yes	0	0	?	?	?
49931	no	yes	no	5/21/1953	no	no	credit_card	Visa	9.2007	yes	9.99	Sunday	16:17	1	508801	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	9	no	1	6.1	6/5/2003	1	1
49933	yes	no	no	10/2/1978	yes	no	check	?	11.2006	?	57.8	Friday	16:43	1	400914	?	?	?	?	?	?	?	?	?	no	no	no	no	no	no	no	no	no	no	no	no	1	yes	0	0	?	?	?
